Country Name,Country Code,Indicator Name,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
IBRD only,IBD,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,67.01377106,67.14969635,67.57843781,68.83138275,70.07569885,71.31040192,72.44255066,73.73818207,74.57102966,75.66668701,76.61271667,77.52557373,78.71671295,79.18167877,79.81964111,80.52619934,80.95246887,81.4808197,81.76331329,82.19210052,82.65454865,83.18325043,84.88957214,85.60012054,86.13218689,87.19712067,87.22348785,87.94275665,88.62773132,89.7457962,89.76258087,90.34581757,91.0742569,91.82415009,92.0499115,92.26303101,92.67933655,93.18055725,93.62555695,94.06648254,94.41233826,94.75739288,,
IDA & IBRD total,IBT,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,63.8188591,63.93852997,64.31276703,65.34314728,66.36547089,67.3837204,68.32972717,69.43618011,70.17366791,71.13263702,71.97091675,72.73777771,73.78560638,74.27066803,74.87415314,75.52055359,75.85917664,76.28143311,76.522789,76.96066284,77.39212799,77.90450287,79.29705811,79.93376923,80.51461029,81.01159668,81.20024872,81.89324951,82.53098297,83.69602966,83.65068054,84.13027954,84.55506897,85.27890015,85.53843689,85.78961945,86.13327789,87.13729858,87.40384674,87.88352966,88.21691132,88.58551025,,
IDA total,IDA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,51.7376709,52.00738907,52.40140915,52.78723145,53.25003052,53.74914932,54.04613876,54.67697906,55.4322319,56.16440964,56.91949844,57.31882095,57.79676056,58.370121,59.32640839,60.1323204,61.0094986,61.85364914,62.69429016,63.78351974,62.89215851,63.75074005,64.48951721,65.07659149,66.4786377,66.41255188,66.78743744,66.60896301,67.56210327,68.27606201,69.05243683,69.67046356,72.4246521,72.78272247,73.85487366,74.61325836,75.43005371,,
IDA blend,IDB,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,61.48690033,61.80046082,62.07546997,62.3074913,62.5078392,62.60377884,62.85282898,63.09395981,63.35984039,63.64760971,63.57944107,64.20552826,64.86496735,65.50965881,66.2678299,67.03671265,67.60051727,68.07363892,69.0163269,69.95500183,70.97926331,71.90028381,72.76094055,73.67315674,69.21987915,69.98258972,70.62171936,70.1343689,70.91842651,71.59506226,73.45831299,72.23693085,72.96031189,73.31742859,73.68972015,74.16739655,74.77935791,74.57157898,75.41995239,76.09828949,76.79212189,,
Indonesia,IDN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,81.64839935,,,,,,,,,,95.06925201,,,,,,,,,,,,,,98.54216003,,96.27236176,,99.38240814,99.39659119,,98.75180054,,,99.67883301,99.6370163,99.65351105,,
IDA only,IDX,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,46.35277939,46.96849823,47.62866974,48.17374039,48.83184052,49.6714592,50.48431015,51.26660156,51.47333145,51.92863083,52.58834076,53.57751083,54.32902145,55.14273834,55.96683884,56.82036972,58.03427124,59.22497177,60.14574051,60.94818878,62.16004181,63.92250824,63.43545151,62.96519089,63.39487076,64.49263763,65.42717743,66.45449829,67.18392181,71.14170074,71.82351685,73.02941132,73.84285736,74.73516846,,
Isle of Man,IMN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,40.32152176,,,,,,,,,,49.34918976,,,,,,,,,,67.74658203,,,,,74.35572815,,,,,81.84980774,,,,,,,
Not classified,INX,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,42.32780075,,,,,,,,,,65.59266663,,,,,81.2009964,,,,,90.55661011,,,,,,,,,96.73754883,96.13214874,,97.4659729,,,,97.66178894,97.43798065,97.67816925,,97.92513275,,
Iraq,IRQ,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.48683167,,,,,,,,,,,,,48.63864899,,,,,
Iceland,ISL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,98.04602814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,ITA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,99.58748627,,,,,,,,,,,,,,,,,,,,99.82010651,,,,,,,,,,99.86869812,,,,,,,
Jamaica,JAM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.29551697,,,,,,,,,,,,,,,98.80000305,,,,
Jordan,JOR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,84.83278656,,,,,,,,,,,,,,,,,,,,,,,,98.91330719,,99.02348328,,98.94657135,,,98.76634979,99.2532196,99.20272827,,,,,,
Japan,JPN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,99.14946747,,,,,,,,,,99.87470245,,,,,,,,,,99.8651123,99.85090637,,,,,,,,
Kenya,KEN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.94255066,,,,,,,81.63256836,,,,,,,86.13652039,,,,
Kyrgyz Republic,KGZ,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.74128723,,,,,,,,,,99.79959106,,,,,,,,,
Cambodia,KHM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.07158661,,,,,,78.89600372,,,,85.53456879,85.86868286,,,,,90.37226105,92.57328033,,,
Kiribati,KIR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,66.0107193,,,,,76.03035736,,,,,84.09369659,,,,,,,,,,90.18480682,,,,,,,,,,99.78759003,98.49926758,98.50778961,98.73937225,,98.71820831,,98.83531189,99.0406723,,99.40084839,,99.4992218,99.50354767
Latin America & Caribbean (excluding high income),LAC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,86.24021149,86.25948334,86.69624329,87.17829895,87.69391632,88.08757782,88.36000061,88.74687195,89.11357117,89.4794693,89.83682251,90.19481659,90.51696777,90.70809174,91.10842133,91.56236267,91.97625732,92.498703,93.01631927,93.49247742,93.9593811,94.41007233,94.72044373,94.76283264,95.04308319,95.26886749,95.49188995,95.5890274,95.92337799,96.60447693,96.790802,96.96836853,96.88160706,97.12982178,97.27620697,97.54105377,97.58616638,97.97406769,98.12975311,98.08128357,98.4002533,98.47009277,98.55931854,,
Lao PDR,LAO,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,64.05435181,,,,,73.56057739,74.68242645,,,,78.73983765,,,,,,67.0537796,,,,90.50106812,,,
Lebanon,LBN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.08229828,,99.33673859,,,,,,,,,
Liberia,LBR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,33.72455978,,,,,,,,,,,,,,,,,,,,,,,37.17031097,,,,,,,,,,,
Libya,LBY,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,80.31060028,,,,,,,,,,96.30000305,,,,,,,,,,99.40000153,,,,,,,,,,,,,,
St. Lucia,LCA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,LCN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,86.81543732,86.82817078,87.23713684,87.68927765,88.17868042,88.55187988,88.80912781,89.17366028,89.51656342,89.86206055,90.19963074,90.53804779,90.84252167,91.02552795,91.40131378,91.85423279,92.24420929,92.73819733,93.22733307,93.6771698,94.12030029,94.54902649,94.84490204,94.88430786,95.15203094,95.37001801,95.58479309,95.6878891,96.01750946,96.68231964,96.87187958,97.05258942,96.97003937,97.20757294,97.34900665,97.59539795,97.64813232,98.02940369,98.18013763,98.11972046,98.42781067,98.49488831,98.5823822,,
Least developed countries: UN classification,LDC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,41.70967102,42.26612091,42.82912827,43.49359131,44.2009697,44.76958084,45.46001816,46.36080933,47.21577072,48.04814911,48.22494125,48.67776871,49.35958862,50.41489029,51.53223038,52.36154938,53.20296097,54.08438873,55.36362076,56.36312866,57.30611038,58.1137886,59.37678909,61.27742004,61.29563141,60.67436981,60.99697113,62.12474823,63.63235092,64.67310333,65.47350311,69.87631989,70.62406158,71.77236938,72.63919067,73.60695648,,
Low income,LIC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,45.86203003,46.6289711,47.63930893,48.42649078,49.17974091,49.8853302,49.68880844,49.43555832,49.66905975,49.97294998,50.4439888,50.90790939,51.50468063,51.03834915,51.40335083,51.91889191,52.78847122,52.90216064,53.82059097,55.89128876,55.25442886,55.0917511,57.06361008,56.45771027,58.46321106,59.21792984,62.98580933,64.87336731,65.58114624,66.9493103,67.93737793,69.18538666,,
Liechtenstein,LIE,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,90.19226837,,,,,,,,,,,,,,,,,,,,96.12110901,,,,,97.93920898,,98.58609772,,98.58896637,,,,,,98.94489288,99.14777374,
Lower middle income,LMC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,50.64744186,50.82429123,51.63505173,52.42882156,53.19855118,53.89197159,54.49008179,55.28765106,55.94155121,56.72753143,57.52265167,58.26760864,59.7893486,58.79040909,60.00856018,61.20859909,62.2298317,63.54256058,64.40149689,65.70311737,66.87700653,68.05226898,69.08103943,70.88201141,72.2441864,72.45594025,73.49022675,74.76261139,75.62020874,76.73033142,76.72332764,77.8225708,78.21945953,79.95954132,80.65856934,81.3615799,81.59085846,83.61837006,84.45645142,85.52314758,86.35428619,87.09581757,,
Low & middle income,LMY,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,63.4826088,63.6221199,64.02160645,65.08389282,66.13791656,67.18649292,68.16159058,69.29496765,70.05413818,71.03314972,71.88835907,72.66812897,73.72788239,74.22052765,74.82491302,75.47035217,75.80454254,76.21922302,76.45066833,76.87914276,77.30259705,77.80908966,79.20114136,79.83579254,80.41629028,80.91497803,81.10572815,81.80594635,82.45123291,83.6262207,83.58487701,84.07054901,84.50084686,85.23069763,85.49550629,85.74980164,86.09680176,87.10597229,87.37709045,87.86009216,88.19637299,88.56748199,,
Lesotho,LSO,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.49609375,,,,,,,,,92.09388733,,,,,93.96987915,,,,
Late-demographic dividend,LTE,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,78.67170715,78.73898315,80.22785187,81.71060181,83.16133881,84.40661621,85.77671814,86.37538147,87.25434875,88.06939697,88.78276825,89.52081299,91.43650818,91.68569183,91.95401764,92.07025909,92.15927887,92.25067139,92.33751678,92.42684937,92.7351532,95.58908081,95.73496246,95.88932037,97.16264343,96.24629211,96.44267273,96.7818222,97.98000336,98.12911224,98.26052094,98.61483765,98.69676208,98.73648834,98.75965881,98.87294769,99.13169098,99.23979187,99.29389191,99.33589172,99.40868378,,
Lithuania,LTU,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,99.70847321,,,,,,,,,,,,99.74237823,,,,,,,,,,99.86662292,,,,,,,
Luxembourg,LUX,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,LVA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,99.82092285,,,,,,,,,,,99.78330994,,,,,,,,,,,99.87010956,,,,,,,
"Macao SAR, China",MAC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,94.20511627,,,,,,,,,,,,,,,,,,,,99.81015778,,,,,99.69966125,,,,,99.69007874,,,,,99.86617279,,
St. Martin (French part),MAF,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,30.95091057,,,,,,,,,,,,45.99636078,,,,,,,,,,60.4928894,,,,69.89814758,72.14524078,,74.0342865,87.78340149,,,,,,
Monaco,MCO,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,MDA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,99.73853302,,,,,,,,,,,99.65157318,,,,,,,,,,,,99.58577728,,,,,,
Madagascar,MDG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.18623352,,,,,,,,,63.96707916,,,75.30384827,,,,,,
Maldives,MDV,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,87.11927795,,,,,,,,96.17604065,,,,,98.31548309,,,,,98.29863739,,,,,98.29863739,,,,,,99.36064911,,,,,,,,99.43955231,,,,
Middle East & North Africa,MEA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,46.24040985,47.08063126,47.92525101,48.8131218,49.83602905,50.92124176,52.13285065,53.44116974,54.79325867,55.97861862,57.78081894,59.55004883,61.36819839,62.91065979,64.59053802,66.19988251,69.23825836,71.01181793,72.48557281,72.14932251,73.53864288,75.47528076,76.826828,77.99105835,79.03064728,80.10762024,81.08634186,82.19262695,83.45201874,83.8574295,84.79033661,85.42579651,86.19165802,86.9703064,87.82214355,85.2421875,85.64907837,85.65865326,86.8680191,87.84893799,88.13440704,88.34410095,88.5075531,,
Mexico,MEX,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,90.86093903,,,,,,,,,,94.9032135,,,,,,,,,,96.48236084,,97.27210999,,97.60793304,97.62792969,97.69171906,98.11611176,98.35642242,98.38159943,98.49212646,98.50666046,99.02957153,98.60191345,99.07946014,99.01495361,99.20722961,,
Marshall Islands,MHL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.75669861,,,,,,,
Middle income,MIC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,65.34420776,65.46273804,65.86055756,66.96333313,68.05535126,69.1325531,70.11456299,71.26828766,72.01854706,72.99960327,73.84980011,74.63983154,75.72171783,76.21794891,76.84301758,77.52113342,77.93982697,78.45651245,78.7388916,79.23239136,79.70789337,80.2677536,81.78900909,82.58616638,83.24240112,83.78726196,83.94605255,84.7358017,85.38224792,86.49858856,86.5626297,87.16539001,87.48753357,88.43502808,88.58911896,88.88462067,88.9240799,89.93527985,90.27043152,90.75498199,91.11475372,91.46386719,,
North Macedonia,MKD,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,98.56687164,,,,,,,,98.48538971,,,,,,,,,,,,98.5,,,,
Mali,MLI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,13.47465038,,,,,,,,,,,,,,,,,,,,,,16.86067009,,,,,,,,30.79846001,,,,33.94570923,39.00856018,,,,39.20775986,,,
Malta,MLT,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,98.87075806,,,,,,,,,,97.80653381,,,,,,,,,,99.11073303,,,,,,99.38657379,,,,,,,
Myanmar,MMR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,81.34420013,,,,,,,,,,,,,,,,,93.47118378,,,,,,,,,,,,,,,,84.41378784,,
Middle East & North Africa (excluding high income),MNA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,41.37091064,42.28506088,43.19010162,44.10820007,45.02199936,45.9792099,47.08472061,48.24118042,49.55887985,50.92803955,52.2845993,53.54571152,55.47483826,57.38819885,59.34064102,60.99451065,62.71960831,64.37783813,67.62185669,69.4625473,71.05935669,70.59648895,72.04602051,74.10331726,75.49659729,76.69859314,77.47236633,78.60076141,79.63446808,80.78665161,82.11675262,82.61489868,83.60870361,84.27292633,85.0519104,85.84752655,86.73960114,83.78462219,84.18164063,83.99360657,85.30211639,86.36791992,86.66152191,86.88436127,87.03488159,,
Montenegro,MNE,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,98.28520966,,,,,,,,,,98.98921204,,,,,,,,,,,,99.36060333,,,,,,,,99.0526123,,,,,,,
Mongolia,MNG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.43193817,,,,,,,,,,98.90873718,,,,,,,,
Northern Mariana Islands,MNP,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,25.11539078,,,,,,,,,,,,,,,,,36.55310822,,,,,,50.03890991,,,,,,56.54005051,,,,,,62.66698837,,,
Mauritania,MRT,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.48371124,,,,,,,47.7123909,,,,,,,,,,,
Mauritius,MUS,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,91.7059021,,,,,,,,,,95.36190033,,,,,,,,,,,98.5759201,,,,,,,
Malawi,MWI,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,49.12807083,,,,,,,,,,,70.70072174,,,,,,,,,,,,69.98174286,,,,73.33242035,73.38580322,,,
Malaysia,MYS,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,86.53147888,,,,,,,,,,,95.22213745,,,,,,,,,97.26772308,,,,,,,,,,98.45825958,,,,,,97.85761261,,
North America,NAC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,NAM,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,90.41716003,,,,,,,,,,93.63253784,,,,,,90.61543274,,,,95.34632111,,,,,,,
New Caledonia,NCL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,97.96157837,,,,,,,,,,,,,98.86099243,,,,,,,99.14203644,,,,,,,,,,,,,,,,,,99.30000305,,,,
Niger,NER,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.23355007,,,,23.19742966,,,,,,,31.64390945,,,,,,
Nigeria,NGA,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,62.48778152,,,,,,,,,,,,60.5093689,,,,,57.95389175,,,,,,,,,,
Nicaragua,NIC,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.81787872,,,,88.84248352,,,,,,,,,,,,,
Netherlands,NLD,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,NOR,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,NPL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,14.96660995,,,,,,,,,,32.66643906,,,,,,,,,,60.1437912,,,,,,,,,,80.20683289,,,,,,,
Nauru,NRU,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECD members,OED,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.66145325,,,,,97.62497711,,98.16506958,,,,99.05661774,98.75331879,98.98040009,98.95638275,
Other small states,OSS,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,80.54795837,80.75595856,80.93640137,81.34094238,81.78904724,82.24463654,82.39454651,82.79606628,82.97753143,83.15010071,83.2407608,83.3358078,83.69744873,84.12064362,84.39308929,84.73870087,84.96665192,85.45913696,85.78299713,86.03620911,86.30476379,86.58342743,86.43148041,86.20465088,86.58789063,85.67085266,84.9664917,85.5566864,86.12848663,86.71292114,87.11556244,87.4826889,87.84597778,,
Pakistan,PAK,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,23.83296013,,,,,,,,,,,,,,,,,43.11405182,,,,,,,53.0885582,58.37055969,,61.24991989,61.46266174,62.29837036,63.1368103,64.47409821,63.43799973,65.54779053,,,,
Panama,PAN,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,96.28395844,,,,,,,,,,94.77776337,,,,,,,,,,95.62272644,,,,,,,,,,97.33686829,,,,,,,,
Peru,PER,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,89.76371765,,,,,,,,,,,,93.78624725,,,,,,,,,,,95.65602112,96.28778076,96.9576416,96.70523071,,,,,98.67575073,,98.78965759,98.77290344,98.67220306,98.85308075,
Philippines,PHL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,92.46903229,,,,,,,,,,96.87773895,,,,96.28193665,,,,,,95.72028351,,,96.58058929,,,,,98.49152374,,,,,98.81542969,,,,,
Palau,PLW,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,94.35772705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82949829,,99.17050934,,,
Papua New Guinea,PNG,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.05812836,,,,,,,,,,71.40000153,,,,,,,,
Poland,POL,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,99.81581116,,,,,,,,,,99.81581116,,,,,,,,,,99.81581116,,,,,,,,,,99.81581116,,,,,,,,,,
Pre-demographic dividend,PRE,"Literacy rate, youth female (% of females ages 15-24)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,53.85284042,54.96712875,55.71437073,56.63396072,57.40251923,57.47332001,57.69775009,58.32962036,59.03145981,59.34127045,60.15346909,60.99409103,60.84309006,61.64781952,58.45608902,59.26512909,60.00661087,60.63795853,61.42473984,60.8027916,59.86135101,58.7674408,58.36214828,57.73392105,58.60606003,61.49932861,62.93851852,63.64881134,64.97392273,65.90875244,67.00743103,,
