Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2013,2014,2015,2016,2017,2018
BWA,Botswana,756,Monetary freedom score,Value,72,72.4,73.9,76.3,77.9,79
BWA,Botswana,757,Trade freedom score,Value,79.7,82.7,72.2,84,83.8,83.9
BWA,Botswana,758,Investment freedom score,Value,70,75,70,65,65,65
BWA,Botswana,759,Financial freedom score,Value,70,70,70,70,70,70
CAF,Central African Republic,747,Index of economic freedom score,Value,50.4,46.7,45.9,45.2,51.8,49.2
CAF,Central African Republic,748,Index of economic freedom score,Rank,142,161,166,168,151,163
CAF,Central African Republic,749,Index of economic freedom score,Regional Rank,31,40,41,42,35,39
CAF,Central African Republic,750,Property rights score,Value,20,10,15,10,12.6,17.9
CAF,Central African Republic,751,Freedom from corruption score,Value,22,20.6,25,24,,
CAF,Central African Republic,752,Fiscal freedom score,Value,65.1,65.1,65,65.7,,
CAF,Central African Republic,753,Gov't spending score,Value,92.4,92.6,92,93.6,94.1,94.6
CAF,Central African Republic,754,Business freedom score,Value,35.2,33.9,27.2,28,27.2,27.2
CAF,Central African Republic,755,Labor freedom score,Value,47.9,40.4,37.5,40.9,42.7,34.5
CAF,Central African Republic,756,Monetary freedom score,Value,78.1,72.5,69.6,62.9,68.2,70.5
CAF,Central African Republic,757,Trade freedom score,Value,57.8,51.8,52.4,52.2,55.2,57.2
CAF,Central African Republic,758,Investment freedom score,Value,55,50,45,45,80,45
CAF,Central African Republic,759,Financial freedom score,Value,30,30,30,30,30,30
CAN,Canada,747,Index of economic freedom score,Value,79.4,80.2,79.1,78,78.5,77.7
CAN,Canada,748,Index of economic freedom score,Rank,6,6,6,6,7,9
CAN,Canada,749,Index of economic freedom score,Regional Rank,1,1,1,1,1,1
CAN,Canada,750,Property rights score,Value,90,90,90,90,88.3,87.5
CAN,Canada,751,Freedom from corruption score,Value,87,87.7,81,81,,
CAN,Canada,752,Fiscal freedom score,Value,79.8,79.7,79.9,80,,
CAN,Canada,753,Gov't spending score,Value,44.8,47.3,48.3,50.4,52.3,52.3
CAN,Canada,754,Business freedom score,Value,91.7,89.3,89,81.8,81.9,81.8
CAN,Canada,755,Labor freedom score,Value,82.3,83.1,76.1,72.6,73.1,71.3
CAN,Canada,756,Monetary freedom score,Value,75.2,76.3,77.9,76.9,77.8,77.5
CAN,Canada,757,Trade freedom score,Value,88.2,88.3,88.4,87,88.4,88.1
CAN,Canada,758,Investment freedom score,Value,75,80,80,80,80,80
CAN,Canada,759,Financial freedom score,Value,80,80,80,80,80,80
CHE,Switzerland,747,Index of economic freedom score,Value,81,81.6,80.5,81,81.5,81.7
CHE,Switzerland,748,Index of economic freedom score,Rank,5,4,5,4,4,4
CHE,Switzerland,749,Index of economic freedom score,Regional Rank,1,1,1,1,1,1
CHE,Switzerland,750,Property rights score,Value,90,90,90,90,86.9,84.2
CHE,Switzerland,751,Freedom from corruption score,Value,88,88.1,85,86,,
CHE,Switzerland,752,Fiscal freedom score,Value,68.1,68.9,70.3,70.9,,
CHE,Switzerland,753,Gov't spending score,Value,63.8,65.7,65.1,66.3,67.5,65.4
CHE,Switzerland,754,Business freedom score,Value,75.8,75.4,78.1,82.2,76.8,75.7
CHE,Switzerland,755,Labor freedom score,Value,87.9,87.4,75.3,72.1,72.2,73.9
CHE,Switzerland,756,Monetary freedom score,Value,86.2,85.2,86.3,87.8,84.4,85.2
CHE,Switzerland,757,Trade freedom score,Value,90,90,90,90,90,90
CHE,Switzerland,758,Investment freedom score,Value,80,85,85,85,85,85
CHE,Switzerland,759,Financial freedom score,Value,80,80,80,80,90,90
CHL,Chile,747,Index of economic freedom score,Value,79,78.7,78.5,77.7,76.5,75.2
CHL,Chile,748,Index of economic freedom score,Rank,7,7,7,7,10,20
CHL,Chile,749,Index of economic freedom score,Regional Rank,1,1,1,1,2,3
CHL,Chile,750,Property rights score,Value,90,90,90,85,68.2,67.9
CHL,Chile,751,Freedom from corruption score,Value,72,72.3,71,73,,
CHL,Chile,752,Fiscal freedom score,Value,77.6,76.5,76.5,74.8,,
CHL,Chile,753,Gov't spending score,Value,83.7,83.8,83.3,83.1,82.2,81.3
CHL,Chile,754,Business freedom score,Value,70.5,69.3,69.3,72.1,72.3,72.4
CHL,Chile,755,Labor freedom score,Value,74.2,69.3,67,64.3,64.3,60.4
CHL,Chile,756,Monetary freedom score,Value,84.6,84.1,85.6,82.9,82.2,82.4
CHL,Chile,757,Trade freedom score,Value,82,82,82,86.4,86.4,88.7
CHL,Chile,758,Investment freedom score,Value,85,90,90,85,85,85
CHL,Chile,759,Financial freedom score,Value,70,70,70,70,70,70
CHN,China,747,Index of economic freedom score,Value,51.9,52.5,52.7,52,57.4,57.8
CHN,China,748,Index of economic freedom score,Rank,136,137,139,144,111,110
CHN,China,749,Index of economic freedom score,Regional Rank,29,29,30,31,24,24
CHN,China,750,Property rights score,Value,20,20,20,20,48.3,46.7
CHN,China,751,Freedom from corruption score,Value,36,35,40,36,,
CHN,China,752,Fiscal freedom score,Value,70.2,69.9,69.7,69.7,,
CHN,China,753,Gov't spending score,Value,83.3,82.9,81.5,74.3,73,71.6
CHN,China,754,Business freedom score,Value,48,49.7,52.1,54.2,53.9,54.9
CHN,China,755,Labor freedom score,Value,62.6,61.9,63,62,63.4,61.4
CHN,China,756,Monetary freedom score,Value,71.6,73.3,74.2,70.6,71.8,71.4
CHN,China,757,Trade freedom score,Value,72,71.8,71.8,72.8,73.6,73.2
CHN,China,758,Investment freedom score,Value,25,30,25,30,20,25
CHN,China,759,Financial freedom score,Value,30,30,30,30,20,20
CIV,Cote d'Ivoire,747,Index of economic freedom score,Value,54.1,57.7,58.5,60,63,62
CIV,Cote d'Ivoire,748,Index of economic freedom score,Rank,126,107,103,92,75,85
CIV,Cote d'Ivoire,749,Index of economic freedom score,Regional Rank,24,16,14,10,4,6
CIV,Cote d'Ivoire,750,Property rights score,Value,25,30,35,30,42.6,39.4
CIV,Cote d'Ivoire,751,Freedom from corruption score,Value,22,22.1,27,32,,
CIV,Cote d'Ivoire,752,Fiscal freedom score,Value,77.9,79.1,77.7,78.3,,
CIV,Cote d'Ivoire,753,Gov't spending score,Value,79.8,79.8,82.4,85.4,84.6,84.6
CIV,Cote d'Ivoire,754,Business freedom score,Value,43.3,55.1,65.4,62.2,62.1,62.1
CIV,Cote d'Ivoire,755,Labor freedom score,Value,54.6,59,46,46.9,50.6,47.6
CIV,Cote d'Ivoire,756,Monetary freedom score,Value,77.8,80.6,75,73.5,73.2,73.6
CIV,Cote d'Ivoire,757,Trade freedom score,Value,70.3,71.4,71.4,71.8,72.3,73.7
CIV,Cote d'Ivoire,758,Investment freedom score,Value,40,50,55,70,75,75
CIV,Cote d'Ivoire,759,Financial freedom score,Value,50,50,50,50,50,50
CMR,Cameroon,747,Index of economic freedom score,Value,52.3,52.6,51.9,54.2,51.8,51.9
CMR,Cameroon,748,Index of economic freedom score,Rank,133,136,146,130,150,149
CMR,Cameroon,749,Index of economic freedom score,Regional Rank,27,29,35,27,34,32
CMR,Cameroon,750,Property rights score,Value,30,30,25,25,43.5,40.6
CMR,Cameroon,751,Freedom from corruption score,Value,25,21.9,25,27,,
CMR,Cameroon,752,Fiscal freedom score,Value,69.3,71.7,71.7,75.6,,
CMR,Cameroon,753,Gov't spending score,Value,87.1,86,87.8,85.6,84.4,86.1
CMR,Cameroon,754,Business freedom score,Value,46.8,45,41.6,46.9,44.3,44
CMR,Cameroon,755,Labor freedom score,Value,55.5,56.1,47.8,48.9,47.8,42.9
CMR,Cameroon,756,Monetary freedom score,Value,69.9,69.4,75.6,81.2,80.1,82.5
CMR,Cameroon,757,Trade freedom score,Value,54.9,61.2,59.6,61.6,53.4,53.4
CMR,Cameroon,758,Investment freedom score,Value,35,35,35,40,35,25
CMR,Cameroon,759,Financial freedom score,Value,50,50,50,50,50,50
COD,"Congo, Dem. Rep.",747,Index of economic freedom score,Value,39.6,40.6,45,46.4,,
COD,"Congo, Dem. Rep.",748,Index of economic freedom score,Rank,171,172,168,163,,
COD,"Congo, Dem. Rep.",749,Index of economic freedom score,Regional Rank,44,44,42,40,,
COD,"Congo, Dem. Rep.",750,Property rights score,Value,10,10,10,10,,
COD,"Congo, Dem. Rep.",751,Freedom from corruption score,Value,20,17.6,22,22,,
COD,"Congo, Dem. Rep.",752,Fiscal freedom score,Value,71.4,69.4,72.9,73.3,,
COD,"Congo, Dem. Rep.",753,Gov't spending score,Value,60.1,74.6,85.7,95.2,,
COD,"Congo, Dem. Rep.",754,Business freedom score,Value,38.7,30,42.8,42.8,,
COD,"Congo, Dem. Rep.",755,Labor freedom score,Value,36.3,38.5,38.4,41,,
COD,"Congo, Dem. Rep.",756,Monetary freedom score,Value,56.5,63,75.1,78.5,,
COD,"Congo, Dem. Rep.",757,Trade freedom score,Value,63,63,63,61,,
COD,"Congo, Dem. Rep.",758,Investment freedom score,Value,20,20,20,20,,
COD,"Congo, Dem. Rep.",759,Financial freedom score,Value,20,20,20,20,,
COG,"Congo, Rep.",747,Index of economic freedom score,Value,43.5,43.7,42.7,42.8,,
COG,"Congo, Rep.",748,Index of economic freedom score,Rank,167,169,170,172,,
COG,"Congo, Rep.",749,Index of economic freedom score,Regional Rank,42,43,43,44,,
COG,"Congo, Rep.",750,Property rights score,Value,10,10,10,10,,
COG,"Congo, Rep.",751,Freedom from corruption score,Value,22,20.6,22,23,,
COG,"Congo, Rep.",752,Fiscal freedom score,Value,61.4,67.5,67.4,66.9,,
COG,"Congo, Rep.",753,Gov't spending score,Value,80.3,79.6,60.7,55.8,,
COG,"Congo, Rep.",754,Business freedom score,Value,31.5,35.1,36.8,35.9,,
COG,"Congo, Rep.",755,Labor freedom score,Value,44.8,47,36,38.8,,
COG,"Congo, Rep.",756,Monetary freedom score,Value,74.3,72,71.6,75.6,,
COG,"Congo, Rep.",757,Trade freedom score,Value,60.7,55.6,62.4,52,,
COG,"Congo, Rep.",758,Investment freedom score,Value,20,20,30,40,,
COG,"Congo, Rep.",759,Financial freedom score,Value,30,30,30,30,,
COL,Colombia,747,Index of economic freedom score,Value,69.6,70.7,71.7,70.8,69.7,68.9
COL,Colombia,748,Index of economic freedom score,Rank,37,34,28,33,37,42
COL,Colombia,749,Index of economic freedom score,Regional Rank,5,3,2,3,4,6
COL,Colombia,750,Property rights score,Value,50,50,50,50,63.8,60.7
COL,Colombia,751,Freedom from corruption score,Value,34,33.2,36,37,,
COL,Colombia,752,Fiscal freedom score,Value,76.1,80.6,80.3,80.1,,
COL,Colombia,753,Gov't spending score,Value,75.2,74.9,76,74.4,74.2,74.4
COL,Colombia,754,Business freedom score,Value,90.2,85.2,81.5,78.2,77.1,78.6
COL,Colombia,755,Labor freedom score,Value,79.3,80.5,81.7,77.6,77.9,75.2
COL,Colombia,756,Monetary freedom score,Value,78.7,78.8,80.1,79.6,77,73.9
COL,Colombia,757,Trade freedom score,Value,72.2,78.8,81.2,81,81.6,81.6
COL,Colombia,758,Investment freedom score,Value,70,75,80,80,80,80
COL,Colombia,759,Financial freedom score,Value,70,70,70,70,70,70
COM,Comoros,747,Index of economic freedom score,Value,47.5,51.4,52.1,52.4,55.8,56.2
COM,Comoros,748,Index of economic freedom score,Rank,157,142,142,141,121,121
COM,Comoros,749,Index of economic freedom score,Regional Rank,39,32,32,32,22,18
COM,Comoros,750,Property rights score,Value,30,30,30,30,37.3,36.7
COM,Comoros,751,Freedom from corruption score,Value,24,22.1,28,26,,
COM,Comoros,752,Fiscal freedom score,Value,64.7,64.5,64.5,64.5,,
COM,Comoros,753,Gov't spending score,Value,82.4,85.3,78.8,81,81.2,77.8
COM,Comoros,754,Business freedom score,Value,44.7,49.4,47.3,49.6,58.5,57.5
COM,Comoros,755,Labor freedom score,Value,51.2,50.1,52,51,50.6,58.7
COM,Comoros,756,Monetary freedom score,Value,74.6,74.5,77.9,79.4,81.5,81.2
COM,Comoros,757,Trade freedom score,Value,68.8,72.7,73,72,70.2,74.9
COM,Comoros,758,Investment freedom score,Value,15,35,40,40,45,45
COM,Comoros,759,Financial freedom score,Value,20,30,30,30,30,30
CPV,Cabo Verde,747,Index of economic freedom score,Value,63.7,66.1,66.4,66.5,56.9,60
CPV,Cabo Verde,748,Index of economic freedom score,Rank,65,60,60,57,116,96
CPV,Cabo Verde,749,Index of economic freedom score,Regional Rank,4,3,3,3,17,9
CPV,Cabo Verde,750,Property rights score,Value,70,70,75,75,42.6,42.1
CPV,Cabo Verde,751,Freedom from corruption score,Value,55,54.9,58,57,,
CPV,Cabo Verde,752,Fiscal freedom score,Value,77.9,77.4,78.3,78.1,,
CPV,Cabo Verde,753,Gov't spending score,Value,65.4,68.6,67.9,66.9,70.7,71.5
CPV,Cabo Verde,754,Business freedom score,Value,58.9,63.8,61.8,61.3,65.5,64.6
CPV,Cabo Verde,755,Labor freedom score,Value,40.3,48,42.1,43.6,43.2,40.5
CPV,Cabo Verde,756,Monetary freedom score,Value,78,79.1,81,84.5,86.7,83.5
CPV,Cabo Verde,757,Trade freedom score,Value,66.9,69.6,69.6,68.2,68.2,68.2
CPV,Cabo Verde,758,Investment freedom score,Value,65,70,70,70,75,80
CPV,Cabo Verde,759,Financial freedom score,Value,60,60,60,60,60,60
CRI,Costa Rica,747,Index of economic freedom score,Value,67,66.9,67.2,67.4,65,65.6
CRI,Costa Rica,748,Index of economic freedom score,Rank,49,53,51,50,63,57
CRI,Costa Rica,749,Index of economic freedom score,Regional Rank,8,9,10,10,10,11
CRI,Costa Rica,750,Property rights score,Value,50,50,50,50,51.6,54.8
CRI,Costa Rica,751,Freedom from corruption score,Value,48,50.9,53,54,,
CRI,Costa Rica,752,Fiscal freedom score,Value,82.9,80,80,79.4,,
CRI,Costa Rica,753,Gov't spending score,Value,90.1,90,89.9,88.7,88.5,88.9
CRI,Costa Rica,754,Business freedom score,Value,58.3,64.9,64.5,68.6,68.1,68.3
CRI,Costa Rica,755,Labor freedom score,Value,60.4,53.3,54.6,53.8,53.9,50.3
CRI,Costa Rica,756,Monetary freedom score,Value,75.4,76.3,75.8,77.6,80.8,85
CRI,Costa Rica,757,Trade freedom score,Value,85.1,83.8,83.8,81.6,84.7,84.7
CRI,Costa Rica,758,Investment freedom score,Value,70,70,70,70,70,70
CRI,Costa Rica,759,Financial freedom score,Value,50,50,50,50,50,50
CUB,Cuba,747,Index of economic freedom score,Value,28.5,28.7,29.6,29.8,33.9,31.9
CUB,Cuba,748,Index of economic freedom score,Rank,176,177,177,177,178,178
CUB,Cuba,749,Index of economic freedom score,Regional Rank,29,29,29,29,31,31
CUB,Cuba,750,Property rights score,Value,10,10,10,10,32.4,29.7
CUB,Cuba,751,Freedom from corruption score,Value,42,41.2,46,46,,
CUB,Cuba,752,Fiscal freedom score,Value,62.7,60,61.8,52.1,,
CUB,Cuba,753,Gov't spending score,Value,0,0,0,0,0,0
CUB,Cuba,754,Business freedom score,Value,10,20,20,20,20,20
CUB,Cuba,755,Labor freedom score,Value,20,20,20,20,20,20
CUB,Cuba,756,Monetary freedom score,Value,67.4,65.8,64.8,65.2,66,66.4
CUB,Cuba,757,Trade freedom score,Value,62.7,60,63.8,64.6,64.5,64.7
CUB,Cuba,758,Investment freedom score,Value,0,0,0,10,10,10
CUB,Cuba,759,Financial freedom score,Value,10,10,10,10,10,10
CYP,Cyprus,747,Index of economic freedom score,Value,69,67.6,67.9,68.7,67.9,67.8
CYP,Cyprus,748,Index of economic freedom score,Rank,41,46,45,42,48,48
CYP,Cyprus,749,Index of economic freedom score,Regional Rank,19,21,20,19,24,24
CYP,Cyprus,750,Property rights score,Value,70,70,70,70,75.4,71.2
CYP,Cyprus,751,Freedom from corruption score,Value,63,64,63,63,,
CYP,Cyprus,752,Fiscal freedom score,Value,79.8,79.7,79.5,76.1,,
CYP,Cyprus,753,Gov't spending score,Value,32.7,36.2,36.7,47.3,48.8,52.9
CYP,Cyprus,754,Business freedom score,Value,80.7,79.7,79.5,74.5,75.8,77
CYP,Cyprus,755,Labor freedom score,Value,62.8,70.2,59.6,58.2,58.6,55.7
CYP,Cyprus,756,Monetary freedom score,Value,84.1,78.8,82.7,85.3,83.3,83
CYP,Cyprus,757,Trade freedom score,Value,81.8,82.8,88,88,87,86.9
CYP,Cyprus,758,Investment freedom score,Value,75,65,70,75,75,75
CYP,Cyprus,759,Financial freedom score,Value,60,50,50,50,50,60
CZE,Czech Republic,747,Index of economic freedom score,Value,70.9,72.2,72.5,73.2,73.3,74.2
CZE,Czech Republic,748,Index of economic freedom score,Rank,29,26,24,21,28,24
CZE,Czech Republic,749,Index of economic freedom score,Regional Rank,15,15,13,11,16,13
CZE,Czech Republic,750,Property rights score,Value,70,70,75,75,70.3,73
CZE,Czech Republic,751,Freedom from corruption score,Value,44,45.3,48,51,,
CZE,Czech Republic,752,Fiscal freedom score,Value,82,81.7,81.5,82.5,,
CZE,Czech Republic,753,Gov't spending score,Value,43.5,43.8,40.6,47.3,45.3,48.6
CZE,Czech Republic,754,Business freedom score,Value,65.8,70.1,68.2,66.6,67.2,72.5
CZE,Czech Republic,755,Labor freedom score,Value,85.5,84,82.9,77.7,77.7,76.8
CZE,Czech Republic,756,Monetary freedom score,Value,81.7,79.4,81.2,84.1,85.8,85.2
CZE,Czech Republic,757,Trade freedom score,Value,86.8,87.8,88,88,87,86.9
CZE,Czech Republic,758,Investment freedom score,Value,70,80,80,80,80,80
CZE,Czech Republic,759,Financial freedom score,Value,80,80,80,80,80,80
DEU,Germany,747,Index of economic freedom score,Value,72.8,73.4,73.8,74.4,73.8,74.2
DEU,Germany,748,Index of economic freedom score,Rank,19,18,16,17,26,25
DEU,Germany,749,Index of economic freedom score,Regional Rank,10,8,7,8,15,14
DEU,Germany,750,Property rights score,Value,90,90,90,90,82.9,81
DEU,Germany,751,Freedom from corruption score,Value,80,80.1,78,79,,
DEU,Germany,752,Fiscal freedom score,Value,61.8,61.2,60.8,61.5,,
DEU,Germany,753,Gov't spending score,Value,37.3,38.2,40.1,41.3,41.4,41.3
DEU,Germany,754,Business freedom score,Value,92.1,89.9,88.2,90,86.6,86.1
DEU,Germany,755,Labor freedom score,Value,43.8,46.4,51.2,50.6,42.8,53.3
DEU,Germany,756,Monetary freedom score,Value,81.2,80.8,81.5,83.3,85.9,86.2
DEU,Germany,757,Trade freedom score,Value,86.8,87.8,88,88,87,86.9
DEU,Germany,758,Investment freedom score,Value,85,90,90,90,80,80
DEU,Germany,759,Financial freedom score,Value,70,70,70,70,70,70
DJI,Djibouti,747,Index of economic freedom score,Value,53.9,55.9,57.5,56,46.7,45.1
DJI,Djibouti,748,Index of economic freedom score,Rank,127,118,112,124,171,171
DJI,Djibouti,749,Index of economic freedom score,Regional Rank,25,20,18,24,43,43
DJI,Djibouti,750,Property rights score,Value,30,30,25,25,12.3,19
DJI,Djibouti,751,Freedom from corruption score,Value,30,30.9,36,34,,
DJI,Djibouti,752,Fiscal freedom score,Value,79.4,80.6,81.2,80.6,,
DJI,Djibouti,753,Gov't spending score,Value,48.8,62.8,57.1,57.4,39.5,27.2
DJI,Djibouti,754,Business freedom score,Value,30,42.7,55.4,50.8,51.6,51.7
DJI,Djibouti,755,Labor freedom score,Value,59.6,65.1,66.6,62.9,59,58.9
DJI,Djibouti,756,Monetary freedom score,Value,76.6,77.2,78.9,74.3,75.3,69.5
DJI,Djibouti,757,Trade freedom score,Value,59.6,54.8,54.8,54.6,54.9,54.9
DJI,Djibouti,758,Investment freedom score,Value,65,65,70,70,80,80
DJI,Djibouti,759,Financial freedom score,Value,60,50,50,50,50,50
DMA,Dominica,747,Index of economic freedom score,Value,63.9,65.2,66.1,67,63.7,64.5
DMA,Dominica,748,Index of economic freedom score,Rank,64,63,61,53,67,66
DMA,Dominica,749,Index of economic freedom score,Regional Rank,12,12,11,11,13,13
DMA,Dominica,750,Property rights score,Value,60,60,60,60,43.8,48.6
DMA,Dominica,751,Freedom from corruption score,Value,52,53.5,58,58,,
DMA,Dominica,752,Fiscal freedom score,Value,72,72.9,73.6,74,,
DMA,Dominica,753,Gov't spending score,Value,50.1,61.7,61.5,68.5,67.5,64.8
DMA,Dominica,754,Business freedom score,Value,77,75,71.6,73.3,72.1,71.7
DMA,Dominica,755,Labor freedom score,Value,68.8,70.7,68.7,68.7,59,57.7
DMA,Dominica,756,Monetary freedom score,Value,85.3,85.8,89.5,90.1,89.5,86.6
DMA,Dominica,757,Trade freedom score,Value,74.3,72.7,72.8,72.6,72.6,62.6
DMA,Dominica,758,Investment freedom score,Value,70,70,75,75,75,75
DMA,Dominica,759,Financial freedom score,Value,30,30,30,30,30,30
DNK,Denmark,747,Index of economic freedom score,Value,76.1,76.1,76.3,75.3,75.1,76.6
DNK,Denmark,748,Index of economic freedom score,Rank,9,10,11,12,18,12
DNK,Denmark,749,Index of economic freedom score,Regional Rank,2,3,4,5,9,6
DNK,Denmark,750,Property rights score,Value,90,90,95,95,86.7,84.8
DNK,Denmark,751,Freedom from corruption score,Value,94,93.7,91,92,,
DNK,Denmark,752,Fiscal freedom score,Value,39.8,39.3,39.6,39.5,,
DNK,Denmark,753,Gov't spending score,Value,5.9,0.5,1.8,2.3,5.7,10.6
DNK,Denmark,754,Business freedom score,Value,98.4,98.1,97.4,95.4,93.9,92.5
DNK,Denmark,755,Labor freedom score,Value,91.1,91.2,92.1,86,85.8,82.8
DNK,Denmark,756,Monetary freedom score,Value,80,80,87.6,84.4,85.5,86.4
DNK,Denmark,757,Trade freedom score,Value,86.8,87.8,88,88,87,86.9
DNK,Denmark,758,Investment freedom score,Value,85,90,90,90,90,90
DNK,Denmark,759,Financial freedom score,Value,90,90,80,80,80,80
DOM,Dominican Republic,747,Index of economic freedom score,Value,59.7,61.3,61,61,62.9,61.6
DOM,Dominican Republic,748,Index of economic freedom score,Rank,87,80,86,88,76,89
DOM,Dominican Republic,749,Index of economic freedom score,Regional Rank,17,16,16,17,16,18
DOM,Dominican Republic,750,Property rights score,Value,30,30,30,25,56.1,51.7
DOM,Dominican Republic,751,Freedom from corruption score,Value,26,27.3,29,32,,
DOM,Dominican Republic,752,Fiscal freedom score,Value,83.7,83.7,84.1,84.5,,
DOM,Dominican Republic,753,Gov't spending score,Value,92.6,92.3,87.1,90.2,90.2,90.6
DOM,Dominican Republic,754,Business freedom score,Value,53.7,56.1,53.5,56.6,52.8,53.2
DOM,Dominican Republic,755,Labor freedom score,Value,55.6,55.2,57.5,56.5,56.2,54.3
DOM,Dominican Republic,756,Monetary freedom score,Value,72.9,75.7,76,73.1,76.7,77.1
DOM,Dominican Republic,757,Trade freedom score,Value,77.8,77.8,77.8,77.2,77,72.4
DOM,Dominican Republic,758,Investment freedom score,Value,65,75,75,75,75,75
DOM,Dominican Republic,759,Financial freedom score,Value,40,40,40,40,40,40
DZA,Algeria,747,Index of economic freedom score,Value,49.6,50.8,48.9,50.1,46.5,44.7
DZA,Algeria,748,Index of economic freedom score,Rank,145,146,157,154,172,172
DZA,Algeria,749,Index of economic freedom score,Regional Rank,14,14,14,13,14,14
DZA,Algeria,750,Property rights score,Value,30,30,30,25,38.2,27.8
DZA,Algeria,751,Freedom from corruption score,Value,29,28.7,36,36,,
DZA,Algeria,752,Fiscal freedom score,Value,80.4,80.5,80,81,,
DZA,Algeria,753,Gov't spending score,Value,44.1,51,38.7,59.4,51,45.9
DZA,Algeria,754,Business freedom score,Value,65.2,66.3,66.6,62.1,62.1,68.1
DZA,Algeria,755,Labor freedom score,Value,52.6,48.3,50.5,48.2,49.5,48.7
DZA,Algeria,756,Monetary freedom score,Value,76.6,67.8,71.2,68.1,67,69.9
DZA,Algeria,757,Trade freedom score,Value,67.8,60.8,60.8,60.8,63.3,63.5
DZA,Algeria,758,Investment freedom score,Value,20,45,25,30,35,25
DZA,Algeria,759,Financial freedom score,Value,30,30,30,30,30,30
ECU,Ecuador,747,Index of economic freedom score,Value,46.9,48,49.2,48.6,49.3,48.5
ECU,Ecuador,748,Index of economic freedom score,Rank,159,159,156,159,160,165
ECU,Ecuador,749,Index of economic freedom score,Regional Rank,26,26,25,25,28,28
ECU,Ecuador,750,Property rights score,Value,20,20,15,15,38.7,36.7
ECU,Ecuador,751,Freedom from corruption score,Value,27,26,35,33,,
ECU,Ecuador,752,Fiscal freedom score,Value,80.1,79.8,79.1,79.2,,
ECU,Ecuador,753,Gov't spending score,Value,47.3,41.8,51,41.8,46.1,52.5
ECU,Ecuador,754,Business freedom score,Value,51.5,52.8,51.4,55.5,55.4,55.6
ECU,Ecuador,755,Labor freedom score,Value,48,52,51.3,51.6,47.3,43.7
ECU,Ecuador,756,Monetary freedom score,Value,66.9,66.1,68.2,68.1,67.7,70.1
ECU,Ecuador,757,Trade freedom score,Value,68.1,71.8,71.4,71.4,69.7,68.8
ECU,Ecuador,758,Investment freedom score,Value,20,30,30,30,35,35
ECU,Ecuador,759,Financial freedom score,Value,40,40,40,40,40,40
EGY,"Egypt, Arab Rep.",747,Index of economic freedom score,Value,54.8,52.9,55.2,56,52.6,53.4
EGY,"Egypt, Arab Rep.",748,Index of economic freedom score,Rank,125,135,124,125,144,139
EGY,"Egypt, Arab Rep.",749,Index of economic freedom score,Regional Rank,13,13,12,12,12,11
EGY,"Egypt, Arab Rep.",750,Property rights score,Value,35,20,20,20,35.4,32.7
EGY,"Egypt, Arab Rep.",751,Freedom from corruption score,Value,29,28.6,32,37,,
EGY,"Egypt, Arab Rep.",752,Fiscal freedom score,Value,85.6,85.6,85.8,85.6,,
EGY,"Egypt, Arab Rep.",753,Gov't spending score,Value,69.4,69.6,68,65.9,63,65.1
EGY,"Egypt, Arab Rep.",754,Business freedom score,Value,63.3,62.7,65.4,68.3,66.8,71.5
EGY,"Egypt, Arab Rep.",755,Labor freedom score,Value,43.3,45.7,53.6,51.4,51.3,51.5
EGY,"Egypt, Arab Rep.",756,Monetary freedom score,Value,58.4,60.5,67.4,65.8,69.6,69.6
EGY,"Egypt, Arab Rep.",757,Trade freedom score,Value,73.8,71.4,70,70.6,70.2,70.9
EGY,"Egypt, Arab Rep.",758,Investment freedom score,Value,50,45,50,55,55,60
EGY,"Egypt, Arab Rep.",759,Financial freedom score,Value,40,40,40,40,40,50
ERI,Eritrea,747,Index of economic freedom score,Value,36.3,38.5,38.9,42.7,42.2,41.7
ERI,Eritrea,748,Index of economic freedom score,Rank,173,174,174,173,176,176
ERI,Eritrea,749,Index of economic freedom score,Regional Rank,45,45,45,45,46,46
ERI,Eritrea,750,Property rights score,Value,10,10,10,10,36.4,35.5
ERI,Eritrea,751,Freedom from corruption score,Value,25,22.9,20,18,,
ERI,Eritrea,752,Fiscal freedom score,Value,57,57,57,80.9,,
ERI,Eritrea,753,Gov't spending score,Value,54.6,66.1,71.8,73.4,74.7,75.6
ERI,Eritrea,754,Business freedom score,Value,17.3,18.6,18.2,32.1,56.7,56.7
ERI,Eritrea,755,Labor freedom score,Value,54.6,63.6,65.5,65.6,69.7,65.7
ERI,Eritrea,756,Monetary freedom score,Value,55.5,57.6,57.8,57.8,61,60.9
ERI,Eritrea,757,Trade freedom score,Value,69.1,69.1,69.2,69.2,69.2,69.2
ERI,Eritrea,758,Investment freedom score,Value,0,0,0,0,0,0
ERI,Eritrea,759,Financial freedom score,Value,20,20,20,20,20,20
ESP,Spain,747,Index of economic freedom score,Value,68,67.2,67.6,68.5,63.6,65.1
ESP,Spain,748,Index of economic freedom score,Rank,46,49,49,43,69,60
ESP,Spain,749,Index of economic freedom score,Regional Rank,22,22,21,20,31,30
ESP,Spain,750,Property rights score,Value,70,70,70,70,71.2,73.1
ESP,Spain,751,Freedom from corruption score,Value,62,62.6,59,60,,
ESP,Spain,752,Fiscal freedom score,Value,53.9,54,53.1,58.3,,
ESP,Spain,753,Gov't spending score,Value,43,38.7,39.8,41.1,41.4,42.8
